datetime,value
6/7/2015 22:00,683133.5
6/8/2015 22:00,703118.5
6/9/2015 22:00,706222.9
6/10/2015 22:00,692474.8
6/11/2015 22:00,689224.2
6/12/2015 22:00,618230.3
6/13/2015 22:00,560561.2
6/14/2015 22:00,664882.3
6/15/2015 22:00,672515.7
6/16/2015 22:00,673392.8
6/17/2015 22:00,671580.9
6/18/2015 22:00,672846.6
6/19/2015 22:00,612264.1
6/20/2015 22:00,550293.1
6/21/2015 22:00,677864.7
6/22/2015 22:00,700890.6
6/23/2015 22:00,658172.3
6/24/2015 22:00,686354.8
6/25/2015 22:00,704303.6
6/26/2015 22:00,634495.9
6/27/2015 22:00,583166.1
6/28/2015 22:00,703621.5
6/29/2015 22:00,724184.5
6/30/2015 22:00,741243.9
7/1/2015 22:00,749362.9
7/2/2015 22:00,740389
7/3/2015 22:00,657181.7
7/4/2015 22:00,600756
7/5/2015 22:00,737566.3
7/6/2015 22:00,759636.7
7/7/2015 22:00,771604.2
7/8/2015 22:00,784052.2
7/9/2015 22:00,771126.4
7/10/2015 22:00,673427.1
7/11/2015 22:00,619411.9
7/12/2015 22:00,757408.1
7/13/2015 22:00,776104.5
7/14/2015 22:00,770863.2
7/15/2015 22:00,782070.5
7/16/2015 22:00,766792
7/17/2015 22:00,676543.2
7/18/2015 22:00,616894.9
7/19/2015 22:00,757342.5
7/20/2015 22:00,767825.9
7/21/2015 22:00,770407.4
7/22/2015 22:00,767457.9
7/23/2015 22:00,764732.2
7/24/2015 22:00,667213.7
7/25/2015 22:00,615630.9
7/26/2015 22:00,748584.9
7/27/2015 22:00,753667.5
7/28/2015 22:00,753931.6
7/29/2015 22:00,748818.3
7/30/2015 22:00,726335.2
7/31/2015 22:00,631704.5
8/1/2015 22:00,582519.1
8/2/2015 22:00,699509.1
8/3/2015 22:00,712485.5
8/4/2015 22:00,708160.1
8/5/2015 22:00,708469.1
8/6/2015 22:00,714854.5
8/7/2015 22:00,619512.8
8/8/2015 22:00,571601.4
8/9/2015 22:00,676241.6
8/10/2015 22:00,696847.7
8/11/2015 22:00,700733.2
8/12/2015 22:00,698707.4
8/13/2015 22:00,677261.7
8/14/2015 22:00,573820.7
8/15/2015 22:00,552992.5
8/16/2015 22:00,664216.4
8/17/2015 22:00,675056
8/18/2015 22:00,670359
8/19/2015 22:00,659490.4
8/20/2015 22:00,681666.5
8/21/2015 22:00,614947.4
8/22/2015 22:00,557622.3
8/23/2015 22:00,670081.2
8/24/2015 22:00,694356.6
8/25/2015 22:00,702496.2
8/26/2015 22:00,699185.6
8/27/2015 22:00,706483.8
8/28/2015 22:00,629691.3
8/29/2015 22:00,578926.3
8/30/2015 22:00,709325.8
8/31/2015 22:00,710471
9/1/2015 22:00,712953.8
9/2/2015 22:00,705725.7
9/3/2015 22:00,698688
9/4/2015 22:00,611442.6
9/5/2015 22:00,558928.9
9/6/2015 22:00,674087.7
9/7/2015 22:00,680128.6
9/8/2015 22:00,689949.1
9/9/2015 22:00,684722.5
9/10/2015 22:00,650601.3
9/11/2015 22:00,592954.9
9/12/2015 22:00,541060.8
9/13/2015 22:00,654770
9/14/2015 22:00,677707.9
9/15/2015 22:00,664711
9/16/2015 22:00,662826.5
9/17/2015 22:00,658083.3
9/18/2015 22:00,581998.3
9/19/2015 22:00,533651.4
9/20/2015 22:00,645589.1
9/21/2015 22:00,663968.3
9/22/2015 22:00,668095
9/23/2015 22:00,657653.9
9/24/2015 22:00,652071.2
9/25/2015 22:00,579662.4
9/26/2015 22:00,518808.7
9/27/2015 22:00,650201.6
9/28/2015 22:00,670578.9
9/29/2015 22:00,663249.4
9/30/2015 22:00,654686.1
10/1/2015 22:00,662585.2
10/2/2015 22:00,569965.2
10/3/2015 22:00,522021.9
10/4/2015 22:00,641125.1
10/5/2015 22:00,654743.1
10/6/2015 22:00,659440
10/7/2015 22:00,655051.2
10/8/2015 22:00,639710.9
10/9/2015 22:00,571494.9
10/10/2015 22:00,517278.2
10/11/2015 22:00,531390.4
10/12/2015 22:00,639433.5
10/13/2015 22:00,648855.9
10/14/2015 22:00,647333.5
10/15/2015 22:00,640436.3
10/16/2015 22:00,562434.8
10/17/2015 22:00,514059.6
10/18/2015 22:00,638519.5
10/19/2015 22:00,655146.9
10/20/2015 22:00,652874.2
10/21/2015 22:00,654826.6
10/22/2015 22:00,644913.7
10/23/2015 22:00,569830.7
10/24/2015 22:00,544181.7
10/25/2015 23:00,640753.4
10/26/2015 23:00,659172.8
10/27/2015 23:00,649332.9
10/28/2015 23:00,652778.7
10/29/2015 23:00,648755.7
10/30/2015 23:00,571079
10/31/2015 23:00,514268.2
11/1/2015 23:00,619124.7
11/2/2015 23:00,666490.1
11/3/2015 23:00,667131.6
11/4/2015 23:00,663579.8
11/5/2015 23:00,668726.5
11/6/2015 23:00,601488.4
11/7/2015 23:00,541587.3
11/8/2015 23:00,644701.5
11/9/2015 23:00,665773.7
11/10/2015 23:00,663198.6
11/11/2015 23:00,667570.9
11/12/2015 23:00,667326.2
11/13/2015 23:00,596728.7
11/14/2015 23:00,540341
11/15/2015 23:00,656560.2
11/16/2015 23:00,681462.4
11/17/2015 23:00,672584.5
11/18/2015 23:00,675391.5
11/19/2015 23:00,676403.3
11/20/2015 23:00,608888.6
11/21/2015 23:00,571691.5
11/22/2015 23:00,682726.7
11/23/2015 23:00,715115.4
11/24/2015 23:00,711248.7
11/25/2015 23:00,712761.3
11/26/2015 23:00,703527.7
11/27/2015 23:00,625133.2
11/28/2015 23:00,568448.3
11/29/2015 23:00,675871.5
11/30/2015 23:00,711274.6
12/1/2015 23:00,724180.4
12/2/2015 23:00,723873.1
12/3/2015 23:00,709733.5
12/4/2015 23:00,635991.5
12/5/2015 23:00,583860
12/6/2015 23:00,636379
12/7/2015 23:00,596829.5
12/8/2015 23:00,713316
12/9/2015 23:00,729256.3
12/10/2015 23:00,720857.1
12/11/2015 23:00,657013.6
12/12/2015 23:00,602392.3
12/13/2015 23:00,718914
12/14/2015 23:00,731761.2
12/15/2015 23:00,737407.4
12/16/2015 23:00,724076.7
12/17/2015 23:00,712695
12/18/2015 23:00,649408.5
12/19/2015 23:00,583702.1
12/20/2015 23:00,689872.1
12/21/2015 23:00,695967
12/22/2015 23:00,678409.8
12/23/2015 23:00,617864.4
12/24/2015 23:00,525118
12/25/2015 23:00,567412.3
12/26/2015 23:00,560490.6
12/27/2015 23:00,647670.2
12/28/2015 23:00,648477
12/29/2015 23:00,640739.1
12/30/2015 23:00,579381.9
12/31/2015 23:00,517147
1/1/2016 23:00,564098.9
1/2/2016 23:00,564229.6
1/3/2016 23:00,646215.9
1/4/2016 23:00,647169.4
1/5/2016 23:00,572465.9
1/6/2016 23:00,685407.9
1/7/2016 23:00,700327.5
1/8/2016 23:00,646198.7
1/9/2016 23:00,615282.2
1/10/2016 23:00,723881.7
1/11/2016 23:00,735689.1
1/12/2016 23:00,745792.5
1/13/2016 23:00,736746.5
1/14/2016 23:00,732747.8
1/15/2016 23:00,674842
1/16/2016 23:00,630633.5
1/17/2016 23:00,728321.8
1/18/2016 23:00,745382.1
1/19/2016 23:00,745977.8
1/20/2016 23:00,740094.9
1/21/2016 23:00,735309.9
1/22/2016 23:00,660851.7
1/23/2016 23:00,618793.7
1/24/2016 23:00,718727.8
1/25/2016 23:00,739774.5
1/26/2016 23:00,732574
1/27/2016 23:00,728739
1/28/2016 23:00,710810.9
1/29/2016 23:00,655304.5
1/30/2016 23:00,610496
1/31/2016 23:00,718916.3
2/1/2016 23:00,730549.3
2/2/2016 23:00,726763.2
2/3/2016 23:00,725253
2/4/2016 23:00,724768.4
2/5/2016 23:00,653288.2
2/6/2016 23:00,615579.6
2/7/2016 23:00,718009.2
2/8/2016 23:00,736485.4
2/9/2016 23:00,736804.3
2/10/2016 23:00,723150.2
2/11/2016 23:00,718888.6
2/12/2016 23:00,651503.3
2/13/2016 23:00,621078.2
2/14/2016 23:00,736451.8
2/15/2016 23:00,743432.1
2/16/2016 23:00,744088.4
2/17/2016 23:00,736102.4
2/18/2016 23:00,745900.5
2/19/2016 23:00,655870.1
2/20/2016 23:00,612087
2/21/2016 23:00,711459.4
2/22/2016 23:00,727719.8
2/23/2016 23:00,718921.1
2/24/2016 23:00,708807.3
2/25/2016 23:00,720181.1
2/26/2016 23:00,664268.5
2/27/2016 23:00,625156
2/28/2016 23:00,717953.3
2/29/2016 23:00,705469.6
3/1/2016 23:00,713318.3
3/2/2016 23:00,700327.8
3/3/2016 23:00,706613.2
3/4/2016 23:00,644668.3
3/5/2016 23:00,606207.9
3/6/2016 23:00,712670
3/7/2016 23:00,711960.6
3/8/2016 23:00,732567.8
3/9/2016 23:00,728875.2
3/10/2016 23:00,727549.2
3/11/2016 23:00,652760.7
3/12/2016 23:00,613735.5
3/13/2016 23:00,705614.3
3/14/2016 23:00,707268.9
3/15/2016 23:00,729112.9
3/16/2016 23:00,721747.5
3/17/2016 23:00,720089.1
3/18/2016 23:00,647050.1
3/19/2016 23:00,601412.2
3/20/2016 23:00,703763.5
3/21/2016 23:00,706067.2
3/22/2016 23:00,691299.7
3/23/2016 23:00,585781.4
3/24/2016 23:00,553624.9
3/25/2016 23:00,572605.2
3/26/2016 23:00,531574.4
3/27/2016 22:00,608822.3
3/28/2016 22:00,673186.3
3/29/2016 22:00,688741.5
3/30/2016 22:00,694674.9
3/31/2016 22:00,685599.6
4/1/2016 22:00,621362.2
4/2/2016 22:00,575255.6
4/3/2016 22:00,681354.2
4/4/2016 22:00,698670.9
4/5/2016 22:00,704811.5
4/6/2016 22:00,689245.6
4/7/2016 22:00,678728.5
4/8/2016 22:00,611310.2
4/9/2016 22:00,574813.4
4/10/2016 22:00,677747.2
4/11/2016 22:00,683850
4/12/2016 22:00,682899.7
4/13/2016 22:00,685598.2
4/14/2016 22:00,667454.3
4/15/2016 22:00,603235
4/16/2016 22:00,557078.2
4/17/2016 22:00,665620.6
4/18/2016 22:00,672911.3
4/19/2016 22:00,674446.8
4/20/2016 22:00,676893.4
4/21/2016 22:00,664445.5
4/22/2016 22:00,608094.5
4/23/2016 22:00,567132.7
4/24/2016 22:00,670906.1
4/25/2016 22:00,668805.7
4/26/2016 22:00,659027
4/27/2016 22:00,650610.8
4/28/2016 22:00,650735.4
4/29/2016 22:00,602639.3
4/30/2016 22:00,529508.4
5/1/2016 22:00,591838.9
5/2/2016 22:00,655514.9
5/3/2016 22:00,657940.6
5/4/2016 22:00,662424.3
5/5/2016 22:00,662569.7
5/6/2016 22:00,577128.7
5/7/2016 22:00,544935.8
5/8/2016 22:00,640425.3
5/9/2016 22:00,652440.8
5/10/2016 22:00,654118.4
5/11/2016 22:00,657485.5
5/12/2016 22:00,657158.7
5/13/2016 22:00,584537.5
5/14/2016 22:00,540362.5
5/15/2016 22:00,603453.6
5/16/2016 22:00,632865.5
5/17/2016 22:00,643000.3
5/18/2016 22:00,638023
5/19/2016 22:00,638571.4
5/20/2016 22:00,574566.2
5/21/2016 22:00,542967
5/22/2016 22:00,627253.4
5/23/2016 22:00,651921.2
5/24/2016 22:00,650851.8
5/25/2016 22:00,644013.5
5/26/2016 22:00,652597
5/27/2016 22:00,592412.5
5/28/2016 22:00,546878.2
5/29/2016 22:00,644865.4
